id,date,city,state,type,ideology,subideology,group,description,image
48622,7/31/2023,Escondido,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Unity.""",
49121,7/31/2023,Marshfield,WI,Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a residential area that read: ""Every single aspect of the media is Jewish.""",
49165,7/31/2023,Midlothian,VA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Unity.""",
49250,7/31/2023,Nashville,TN,White Supremacist Event,Right Wing (White Supremacist),,Active Clubs,"Approximately five individuals associated with Smoky Mountain Active Club and Tennessee Active Club, both white supremacist groups, held a joint training session.",
49979,7/31/2023,West Branch,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Our nation our duty.""",
49980,7/31/2023,West Chester,PA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that promoted their group.",
48069,7/30/2023,Ashby,MA,White Supremacist Propaganda,Right Wing (White Supremacist),,Bay State Active Club,"Bay State Active Club, a white supremacist group, distributed propaganda that read: ""White Unity"" and advertised a white supremacist website.",
48101,7/30/2023,Austin,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Justice Report, news too real for Twitter,"" ""Confronting the Anti-White System"" and ""White Unity.""",
48285,7/30/2023,Canastota,NY,White Supremacist Event,Right Wing (White Supremacist),,White Lives Matter (WLM),"Approximately eight individuals associated with White Lives Matter, a white supremacist group, held a protest. Members carried signs that read:  ""White Lives Matter,"" ""Protect the Historic American Nation"" and ""White Pride Worldwide.""",
48478,7/30/2023,Corte Madera,CA,Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,White Lives Matter (WLM),Individuals associated with white supremacist White Lives Matter distributed white supremacist and antisemitic propaganda in a residential area.,
48519,7/30/2023,Dayton,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers promoting their group.",
48872,7/30/2023,Huntsville,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers promoting their group.  ",
49007,7/30/2023,Lexington,KY,Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,,Individuals associated with the white supremacist Aryan Freedom Network distributed propaganda promoting their website in front of a synagogue in Lexington.,
49170,7/30/2023,Millbrook,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers promoting their website.",
49249,7/30/2023,Nashville,TN,White Supremacist Event,Right Wing (White Supremacist),,White Lives Matter (WLM),"Approximately five individuals associated with White Lives Matter, a white supremacist group, held a meetup.",
49473,7/30/2023,Pittsford,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Unity"" and posted fliers promoting their group.",
49519,7/30/2023,Poughkeepsie,NY,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Our nation our duty"" at Vassar College. ",
49620,7/30/2023,Rotterdam,NY,White Supremacist Event,Right Wing (White Supremacist),,National Justice Party (NJP),"Approximately 15 individuals associated with the National Justice Party, a white supremacist group, held an anti-immigration protest. Members held signs that read: ""You will not replace us,"" ""Our Nation, No Vacancy,"" ""You Pay, Migrants Stay"" and ""Our Families Come First."" ",
50056,7/30/2023,Wooster,OH,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Our nation our duty.""",
51174,7/30/2023,Detroit,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For a new American nation state,"" ""America first,"" ""United we stand"" and ""Not stolen, conquered.""",
