Date,Close
7/11/23,24.85
7/10/23,25.51
7/7/23,24.7
7/6/23,21.62
7/5/23,20.43
7/3/23,19.56
6/30/23,16.66
6/29/23,16.01
6/28/23,14.64
6/27/23,13.94
6/26/23,13.45
6/23/23,13.53
6/22/23,14.15
6/21/23,14.62
6/20/23,15.7
6/16/23,14.88
6/15/23,15.24
6/14/23,14.74
6/13/23,15.25
6/12/23,14
6/9/23,13.87
6/8/23,14.05
6/7/23,13.82
6/6/23,14.5
6/5/23,14.34
6/2/23,14.48
6/1/23,14.58
5/31/23,14.73
5/30/23,14.87
5/26/23,15.14
5/25/23,14.57
5/24/23,14.38
5/23/23,14.2
5/22/23,14.23
5/19/23,13.47
5/18/23,13.54
5/17/23,13.41
5/16/23,13.08
5/15/23,13.44
5/12/23,12.91
5/11/23,13.84
5/10/23,14.11
5/9/23,13.86
5/8/23,13.87
5/5/23,13.41
5/4/23,12.95
5/3/23,12.81
5/2/23,12.68
5/1/23,12.65
4/28/23,12.82
4/27/23,12.67
4/26/23,12.04
4/25/23,12
4/24/23,12.36
4/21/23,12.25
4/20/23,12.35
4/19/23,12.82
4/18/23,13.43
4/17/23,13.73
4/14/23,13.38
4/13/23,14.37
4/12/23,14.19
4/11/23,14.74
4/10/23,14.81
4/6/23,14.47
4/5/23,14.63
4/4/23,15.38
4/3/23,15.23
3/31/23,15.48
3/30/23,14.4
3/29/23,14.24
3/28/23,12.96
3/27/23,13.31
3/24/23,13.62
3/23/23,13.71
3/22/23,13.29
3/21/23,13.61
3/20/23,13.02
3/17/23,13.01
3/16/23,13.46
3/15/23,13.03
3/14/23,13.21
3/13/23,13.73
3/10/23,14.16
3/9/23,14.53
3/8/23,15.13
3/7/23,14.64
3/6/23,17.13
3/3/23,16.92
3/2/23,15.72
3/1/23,15.76
2/28/23,19.3
2/27/23,18.45
2/24/23,17.32
2/23/23,18.18
2/22/23,19.02
2/21/23,19.08
2/17/23,20.22
2/16/23,20.68
2/15/23,21.15
2/14/23,19.49
2/13/23,18.92
2/10/23,18.85
